COP,fluid_h,Thi,Tho,Ph,mh,dTh,fluid_c,Tci,Tco,Pc,mc,dTc,DSH,DSC,comp_eff,Refrigerant
2.7354656683879095,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.8232502922402409,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,Ammonia
2.354809214847873,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.7465683088746344,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,CO2
2.284831725489315,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.7296912974196978,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,Ethane
2.6334979687483386,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.8048829845671948,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,IsoButane
2.601141947591633,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.7987537646312389,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,Propylene
2.410434688023028,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.7592848722056186,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,R115
2.6529969499818704,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.8085044914775085,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,R12
2.53089905888871,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.7849082015835637,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,R1234yf
2.5983867661433773,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.798224796518906,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,R1234ze(E)
2.6267349114257907,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.8036143370618072,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,R124
2.601700005053057,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.7988607698067995,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,R1243zf
2.4075441071646546,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.758638529819951,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,R125
2.396480242942189,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.7561502118983231,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,R13
2.6250408299319443,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.8032955291251559,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,R134a
2.697993434015135,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.8166618223102489,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,R13I1
2.686301324341757,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.8145684599976358,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,R142b
2.5081725789352416,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.7802625453536068,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,R143a
2.693623608976521,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.8158815730135996,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,R152A
2.6684784614553987,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.811342149409456,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,R161
2.2151056792571637,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.7118143441924029,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,R218
2.653516640295687,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.8086002843489257,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,R22
2.46745689849953,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.7717256129681587,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,R227EA
2.5833194070866403,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.7953120521537028,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,R236FA
2.625935194044385,Air,287.90069324676006,302.24968438346457,101300,1.0,16.785145237682293,Air,291.7185314625333,280.65774170461594,101300,0.8034638901004577,12.929560688076243,4.92736478014112,0.5811020414869094,0.27154892271852615,R32
